category,split,first_train_size,rank,object_id,trajectory_count,geometry_distance_to_category_center,geometry_proxy,physical_longest_extent,physical_bbox_volume,bbox_aspect_ratio,convex_piece_count,vertex_count,rotation_angle_std,final_action_dispersion
bottle,train,4,1,core-bottle-714320da4aafcb4a47be2353d2b2403b,40,0.22931571989447866,typical,0.18765630279629678,0.000612127991908818,3.2856675117660243,2,866,0.9738620519638062,0.27859675884246826
bottle,train,4,2,core-bottle-dc005c019fbfb32c90071898148dca0e,40,0.7596959291210525,medium,0.13692759693942963,0.0008201985944483037,1.7692001571156868,2,671,1.2566370964050293,0.2761196494102478
bottle,train,4,3,core-bottle-d3eea69d9d58401c76c2a9de5c96f76,40,0.758256592671305,medium,0.19184310285868494,0.0012042259290459992,2.421393086317533,3,1389,1.1320364475250244,0.25790849328041077
bottle,train,4,4,core-bottle-ba4b48d76eb79f7cf54e1b6f41fdd78a,40,1.3707022937273994,unusual,0.10741163093017042,0.0004925330404398471,1.5862048800197057,21,1916,0.7844158411026001,0.2833363711833954
bottle,train,10,5,core-bottle-c5032e4be091aabb36fe7a88df793982,20,1.48056091373584,unusual,0.1808472026948333,0.001956666519133844,1.8400022790538673,26,3406,0.7492221593856812,0.12244505435228348
bottle,train,10,6,core-bottle-abe557fa1b9d59489c81f0389df0e98a,20,1.1072701856273386,unusual,0.11435435034392773,9.346480761912495e-05,3.999953828266335,2,662,0.7695299386978149,0.18694590032100677
bottle,train,10,7,core-bottle-c82bbd1b1a929c7ce8ed8cf0a077ddf7,38,1.4313097794665304,unusual,0.1334063970181346,0.0017279635734937801,1.314286615017221,32,3899,1.2241541147232056,0.2692166268825531
bottle,train,10,8,core-bottle-77699e08e3824eab47765668cf4023ed,40,1.064306367798687,unusual,0.17716860264001788,0.0012720081344778115,2.0909093054873678,1,322,0.9903494715690613,0.22139178216457367
bottle,train,10,9,core-bottle-1ae823260851f7d9ea600d1a6d9f6e07,24,0.9399602904212454,unusual,0.18731880279126764,0.000698893059580034,3.0666675398070145,24,1212,1.183538794517517,0.28475967049598694
bottle,train,10,10,core-bottle-bd28b6cd2fdb691b8d8eca78e5e16d9d,40,0.8705802517055118,unusual,0.18798960280126334,0.00034614894911398283,4.380959483204617,2,371,1.2007862329483032,0.24216730892658234
bottle,train,20,11,core-bottle-d30623112e58b893eee7d6dab02eb061,20,1.3131565199994344,unusual,0.13265432644546032,0.00021622438196914712,3.2857142857142856,22,1326,0.7853981852531433,0.23162443935871124
bottle,train,20,12,core-bottle-b198ccb35182e73ffd2866d52d2e8042,40,1.0332783336507432,unusual,0.09911699163056908,0.00036033475998966416,1.7036735283197886,2,441,1.052990198135376,0.23786519467830658
bottle,train,20,13,core-bottle-41a2005b595ae783be1868124d5ddbcb,40,0.9774387188802048,unusual,0.17718120264020562,0.0012722787611358206,2.090909949161423,2,445,0.7492220997810364,0.28525152802467346
bottle,train,20,14,core-bottle-3ae3a9b74f96fef28fe15648f042f0d9,40,1.2023500075281153,unusual,0.1373251969305426,0.0024784876603577114,1.022190793783124,2,2208,0.8422457575798035,0.2545202374458313
bottle,train,20,15,core-bottle-e4ada697d05ac7acf9907e8bdd53291e,40,0.9701086719257402,unusual,0.08258477302654832,0.00019911395391970668,2.7058311250206413,2,298,0.8594639301300049,0.2806115746498108
bottle,train,20,16,core-bottle-3de5abb596766c5380dd154b5d9c087,40,0.7915932404841928,unusual,0.20394747889488937,0.0010263142983661054,2.87499651105453,1,292,1.2268311977386475,0.2739510238170624
bottle,train,20,17,core-bottle-e119bf2041459392601bea3dca268229,40,0.9083603627062983,unusual,0.2309246205007434,0.0004713907696230003,5.111105208919863,1,427,0.8274683952331543,0.24913282692432404
bottle,train,20,18,core-bottle-74690ddde9c0182696c2e7960a15c619,40,0.881196580947849,unusual,0.13456207699230313,0.00041453049404924875,3.0666596169834164,2,272,1.2994720935821533,0.29120007157325745
